   GoodVibes v3.2 2026/06/10 16:18:05
   Citation: Luchini, G.; Alegre-Requena, J. V.; Funes-Ardoiz, I.; Paton, R. S. F1000Research, 2020, 9, 291.
   GoodVibes version 3.2 DOI: 10.12688/f1000research.22758.1

o  Requested: --qh grimme -t 298.15 

   Temperature = 298.15 Kelvin   Pressure = 1 atm
   All energetic values below shown in Hartree unless otherwise specified.

   Using vibrational scale factor 1.0 for B3LYP/Gen/Auto level of theory

   Entropic quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QS = Grimme: Using a mixture of RRHO and Free-rotor vibrational entropies.
   REF: Grimme, S. Chem. Eur. J. 2012, 18, 9955-9964


   Enthalpy quasi-harmonic treatment: frequency cut-off value of 100.0 wavenumbers will be applied.
   QH = Head-Gordon: Using an RRHO treatement with an approximation term for vibrational energy.
   REF: Li, Y.; Gomes, J.; Sharada, S. M.; Bell, A. T.; Head-Gordon, M. J. Phys. Chem. C 2015, 119, 1840-1850


   Structure                                           E        ZPE             H          qh-H        T.S     T.qh-S          G(T)       qh-G(T)
   **********************************************************************************************************************************************
o  carboplatin-conf_1                        -765.792446   0.196265   -765.580252   -765.582269   0.059004   0.057466   -765.639256   -765.639735
o  carboplatin                               -765.792446   0.196267   -765.580252   -765.582267   0.058999   0.057463   -765.639251   -765.639730
o  CHEMBL1386                               -1153.108963   0.080953  -1153.017736  -1153.019121   0.048065   0.046316  -1153.065801  -1153.065437
o  CHEMBL1743583-conf_1                      -730.316916   0.319714   -729.980328   -729.981795   0.058935   0.058083   -730.039262   -730.039879
o  CHEMBL1743583-conf_2                      -730.310333   0.319109   -729.973876   -729.975763   0.060972   0.059271   -730.034848   -730.035034
o  CHEMBL1743583                             -730.306721   0.319532   -729.969942   -729.971740   0.060211   0.058929   -730.030152   -730.030669
o  CHEMBL1743584                            -1491.560011   0.484010  -1491.044995  -1491.050772   0.095397   0.088284  -1491.140392  -1491.139056
o  CHEMBL1743586                             -730.306721   0.319535   -729.969942   -729.971736   0.060189   0.058920   -730.030131   -730.030656
o  CHEMBL1743591                            -1570.160223   0.540150  -1569.586192  -1569.592735   0.103212   0.094497  -1569.689404  -1569.687232
o  CHEMBL1743593-conf_10                     -578.678642   0.291418   -578.373315   -578.374782   0.053848   0.052793   -578.427163   -578.427574
